graph_id,shape_id,seq_len,hidden_dim,intermediate_dim,selector_name,num_candidates,baseline_candidate_id,baseline_latency_ms,oracle_candidate_id,oracle_latency_ms,selected_candidate_id,selected_latency_ms,speedup_vs_baseline,regret_vs_oracle,decision_time_p50_ms,decision_time_p95_ms,win_over_2pct
g00_006,s0_seq128,128,512,1024,Heuristic,6,baseline_separate_silu,0.06451199948787689,fused_chunk_silu,0.058368001133203506,fused_chunk_silu,0.058368001133203506,1.1052631276622267,0.0,0.004972498572897166,0.005248488741926849,1
g00_006,s0_seq128,128,512,1024,Oracle,6,baseline_separate_silu,0.06451199948787689,fused_chunk_silu,0.058368001133203506,fused_chunk_silu,0.058368001133203506,1.1052631276622267,0.0,0.0008409988367930055,0.0009110081009566784,1
g00_007,s0_seq128,128,768,1536,Baseline,6,baseline_separate_silu,0.07065600156784058,fused_chunk_silu,0.06656000018119812,baseline_separate_silu,0.07065600156784058,1.0,0.06153848220390312,0.00010999792721122503,0.00014099423424340785,0
g00_007,s0_seq128,128,768,1536,Heuristic,6,baseline_separate_silu,0.07065600156784058,fused_chunk_silu,0.06656000018119812,fused_chunk_silu,0.06656000018119812,1.0615384822039031,0.0,0.004907495167572051,0.005038489325670525,1
g00_007,s0_seq128,128,768,1536,Oracle,6,baseline_separate_silu,0.07065600156784058,fused_chunk_silu,0.06656000018119812,fused_chunk_silu,0.06656000018119812,1.0615384822039031,0.0,0.0008365022949874401,0.0009015464456751943,1
g00_008,s0_seq128,128,1024,2048,Baseline,6,baseline_separate_silu,0.07168000191450119,fused_split_inplace_silu,0.06656000018119812,baseline_separate_silu,0.07168000191450119,1.0,0.07692310275487912,0.00010999792721122503,0.00014050310710445044,0
g00_008,s0_seq128,128,1024,2048,Heuristic,6,baseline_separate_silu,0.07168000191450119,fused_split_inplace_silu,0.06656000018119812,fused_chunk_silu,0.06758400052785873,1.0606060806500208,0.01538462055097578,0.00494800042361021,0.0051474977226462215,1
g00_008,s0_seq128,128,1024,2048,Oracle,6,baseline_separate_silu,0.07168000191450119,fused_split_inplace_silu,0.06656000018119812,fused_split_inplace_silu,0.06656000018119812,1.0769231027548791,0.0,0.0008310016710311174,0.0008824419637676328,1
g00_009,s0_seq128,128,1280,5120,Baseline,6,baseline_separate_silu,0.10751999914646149,fused_chunk_silu,0.10239999741315842,baseline_separate_silu,0.10751999914646149,1.0,0.050000018189894524,0.00010999792721122503,0.0001414577127434313,0
g00_009,s0_seq128,128,1280,5120,Heuristic,6,baseline_separate_silu,0.10751999914646149,fused_chunk_silu,0.10239999741315842,fused_chunk_silu,0.10239999741315842,1.0500000181898945,0.0,0.004992500180378556,0.005268496897770092,1
g00_009,s0_seq128,128,1280,5120,Oracle,6,baseline_separate_silu,0.10751999914646149,fused_chunk_silu,0.10239999741315842,fused_chunk_silu,0.10239999741315842,1.0500000181898945,0.0,0.0008310016710311174,0.000890999217517674,1
g00_010,s0_seq128,128,1536,4608,Baseline,6,baseline_separate_silu,0.11059200018644333,fused_chunk_silu,0.10444799810647964,baseline_separate_silu,0.11059200018644333,1.0,0.05882355039203513,0.00010999792721122503,0.00013144672266207633,0
g00_010,s0_seq128,128,1536,4608,Heuristic,6,baseline_separate_silu,0.11059200018644333,fused_chunk_silu,0.10444799810647964,fused_chunk_silu,0.10444799810647964,1.0588235503920351,0.0,0.004942499799653888,0.005148501804796979,1
g00_010,s0_seq128,128,1536,4608,Oracle,6,baseline_separate_silu,0.11059200018644333,fused_chunk_silu,0.10444799810647964,fused_chunk_silu,0.10444799810647964,1.0588235503920351,0.0,0.0008220013114623725,0.000890999217517674,1
